"Taxon","Trait1","Trait2","Trait3","Trait4","Trait5"
"FAV_Montastraea_multipunctata",-12.4454446659755,49.8992795351027,-9.99165464939231,23.3508830661544,6.9852240751184
"MUS_Micromussa",-12.7828318508257,44.3730225841696,-5.29742223440397,27.9468163003152,5.44647901617478
"FAV_Moseleya_latistellata",-31.2253060814224,52.1069709395591,-40.1893749749323,25.1858414218476,-2.54396029915916
"MUS_Acanthastrea_echinata",-49.2603907172643,37.6040429730101,-58.5560258386662,20.0504296744047,13.3025854886939
"MUS_Acanthastrea_rotundoflora",-41.5533102596986,34.1346300650851,-50.5975559465689,24.7478813086714,12.390699576434
"PEC_Oxypora",-20.3249549580308,51.0514856326308,-51.9587872686908,26.5545723172785,-9.5771868439065
"PEC_Echinophyllia_echinoporoides",-30.5688962393058,57.6160243521711,-71.1963720998748,24.7183839236474,-17.8153638622966
"PEC_Echinophyllia_orpheensis",-34.3552439504645,59.089861148967,-74.9771666894633,29.5102876930929,-16.9800853497596
"PEC_Echinophyllia_aspera",-33.0775599033544,57.7211906077238,-70.92106232683,28.5912654233942,-15.6402572138641
"MUS_Cynarina_lacrymalis",-41.6396015532064,72.1446300301548,-56.0968666072566,25.7673836932489,-5.733499770429
"MUS_Scolymia_vitiensis",-52.866152070268,65.8526925222915,-33.3210554835842,13.0753994049293,5.070370182171
"MUS_Lobophyllia_corymbosa",-15.3468066473442,61.5992872832069,-35.0919830939978,24.3732054917758,-5.19672491766747
"MUS_Symphyllia_valenciennesii",-24.5662132510891,70.6083219500461,-50.4317614296408,25.9833195564578,-9.06262139011795
"MUS_Symphyllia_radians",-24.8546367065633,72.4830556738636,-48.2364578707248,27.6202301349474,-6.2943647537639
"MUS_Symphyllia_agaricia",-23.9842338136838,67.3282765381289,-46.1663360643058,28.0498510344542,-5.31170461851555
"MUS_Symphyllia_recta",-23.8131412426453,69.3600603830378,-45.4181988795925,27.7930358558385,-4.7430914974529
"MUS_Lobophyllia_pachysepta",-21.7366806471024,64.26733046383,-43.9598503151761,29.1115888228088,-5.64744262325954
"MUS_Lobophyllia_hemprichii",-24.5970549253778,65.1394105616051,-40.6791935810635,27.0719582351463,-1.68841925474246
"MER_Orbicella_franksi",-18.2164096097645,11.6878557292818,-31.6268179820884,49.0273539707939,-4.86271270995111
"MER_Orbicella_annularis",-26.7308125428421,14.0854974564464,-37.0020019540959,46.9881626729362,-4.02768982159433
"MER_Orbicella_faveolata",-26.5198774377437,15.0014121624487,-38.9308931627138,47.5723077845701,-5.09577542730963
"FAV_Cyphastrea_ocellina",-4.67051594290414,24.1971637317418,-51.3044146263123,53.1898865651255,-19.9404177239564
"FAV_Cyphastrea_chalcidicum",-15.9984480095881,25.4047167392295,-55.4262551333615,47.5570401372921,-12.9048413976248
"FAV_Cyphastrea_serailia",-19.0818985467669,27.507425293999,-50.0747941930205,41.366878061123,-14.1770006978244
"FAV_Cyphastrea_microphthalma",-13.062817250171,30.5711097354126,-50.9314938779534,41.2942844175376,-17.4089018934535
"FAV_Montastraea_salebrosa",3.50514644716803,28.0119131725494,-39.8820631682691,68.1867188034054,-26.4127717282573
"FAV_Echinopora_mammiformis",-2.05365779205653,10.8996235515273,-1.83304399187046,71.2293995217458,-7.2252690305206
"FAV_Echinopora_gemmacea",10.9442668779725,24.4373259250726,-7.75923572325665,69.0638423641712,-7.89896162208969
"FAV_Echinopora_pacificus",7.70149076378171,26.8350037881013,-7.31555771537659,69.5165939839944,-6.25850215880453
"FAV_Echinopora_lamellosa",9.99343086909697,24.8461191789991,-10.8724126434514,70.9616492738571,-11.7262855434729
"FAV_Echinopora_horrida",12.3772825431566,22.1303591336759,-7.06142486944815,73.418938146064,-11.7998819736572
"EUP_Catalaphyllia_jardinei",-24.3305002849041,17.6367638620286,-13.3885089547728,59.9981331934992,5.91365446881309
"FAV_Plesiastrea_devantieri",21.7444152975104,20.7251061707121,0.513715469557034,58.1850872017236,-5.49553405234403
"MER_Hydnophora_rigida",-10.1348851012931,28.7365783118553,8.49396986674887,46.2521441241905,9.96560359160743
"MER_Hydnophora_exesa",12.3175702404745,33.0449196161197,2.79939915794874,55.4927628794305,-2.38673910348536
"MER_Hydnophora_grandis",15.7399348794564,35.0698208899555,-0.419222307893535,58.7416699832438,-6.97502263458197
"MER_Hydnophora_microconos",4.0661710385349,33.7724130245583,-8.98924536136277,61.2980869585617,-4.03041830146845
"MER_Hydnophora_pilosa",5.0991975407515,33.0595466258144,-9.31048343461466,56.8912363741222,-2.88791417941917
"FAV_Leptoria_phrygia",-10.7310991903921,25.6793842195879,3.51784981114782,56.5872195621413,11.7978059675673
"FAV_Platygyra_sinensis",-16.9672979373805,35.1821462499382,-3.00487263303769,42.8852206991891,3.06185252539128
"FAV_Platygyra_daedalea",-22.661914071846,24.5045151016966,-6.55009675930863,47.2727079906237,7.81340620004528
"FAV_Platygyra_verweyi",-29.5125694502955,28.0127990502264,-5.39999253166158,45.0047728475102,9.9365860396501
"FAV_Platygyra_pini",-35.9933140022851,26.0395469502414,-9.61972512378523,44.3267408517081,10.5601321654736
